127.0.0.1 - - [26/Jun/2022:00:48:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jun/2022:00:48:40 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
0:0:0:0:0:0:0:1 - - [26/Jun/2022:00:52:26 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:52:57 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:52:57 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.1.86 - - [26/Jun/2022:00:54:22 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:54:23 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:54:23 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:54:23 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:54:24 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:54:24 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:54:24 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
192.168.1.86 - - [26/Jun/2022:00:54:25 +0900] "GET /taek_web/json/deptToJSON.jsp HTTP/1.1" 200 209
